"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"111",1.71,1956,10,25,2,299,1.094,0.377266484066634,0.616,2.081
"112",1.24,1956,10,29,2,303,1.1725,0.675272431795388,0.0674999999999999,1.5325
"113",1.07,1956,10,30,2,304,1.3425,0.977149644922122,-0.2725,1.1925
"114",0.76,1956,11,16,2,321,1.13,0.367117147515613,-0.37,1.095
"115",0.76,1956,12,11,2,346,1.15571428571429,0.459886114266606,-0.395714285714286,1.06928571428571
"116",0.85,1957,1,7,2,7,1.30125,0.953316579106857,-0.45125,1.01375
"117",0.7,1957,2,1,2,32,0.9825,0.30560244950402,-0.2825,1.1825
"118",0.83,1957,2,22,2,53,1.112,0.609155152649963,-0.282,1.183
"119",1.42,1957,2,24,2,55,1.34142857142857,0.345032779671177,0.0785714285714285,1.54357142857143
"120",1.01,1957,2,25,2,56,0.9175,0.100457287772798,0.0925,1.5575
"121",1.02,1957,3,6,2,65,0.942,0.191494125236259,0.0780000000000001,1.543
"122",1.22,1957,3,7,2,66,0.944,0.243577503066273,0.276,1.741
"123",0.7,1957,3,11,2,70,0.91,0.29698484809835,-0.21,1.255
"124",0.79,1957,3,12,2,71,1.02666666666667,0.366696968444882,-0.236666666666667,1.22833333333333
"125",0.7,1957,4,14,2,104,0.87,0.165227116418583,-0.17,1.295
"126",0.9,1957,9,26,2,269,1.045,0.218708329364323,-0.145,1.32
"127",0.81,1957,10,12,2,285,1.0925,0.428125760339957,-0.2825,1.1825
"128",1.35,1957,12,17,2,351,1.055,0.322711724520286,0.295,1.76
"129",0.75,1957,12,18,2,352,0.99875,0.2685111064476,-0.24875,1.21625
"130",3.24,1957,12,19,2,353,1.41,0.866117774901312,1.83,3.295
"131",1.72,1957,12,20,2,354,1.61,0.670799097026396,0.11,1.575
"132",1.33,1957,12,21,2,355,1.328,0.69572983262183,0.002,1.467
"133",0.94,1957,12,27,2,361,1.3175,0.476767388625882,-0.3775,1.0875
"134",0.72,1958,1,10,2,10,1.20571428571429,0.522224742154832,-0.485714285714286,0.979285714285714
"135",0.76,1958,1,12,2,12,1.17625,0.385187802061725,-0.41625,1.04875
"136",0.96,1958,1,16,2,16,1.004,0.284612797401038,-0.044,1.421
"137",0.78,1958,1,23,2,23,1.356,0.398911017646793,-0.576,0.889
"138",2.06,1958,1,29,2,29,1.25,0.701498396291823,0.81,2.275
"139",0.83,1958,1,30,2,30,1.06,0.321558703816271,-0.23,1.235
"140",0.8,1958,2,11,2,42,1.025,0.558181571414416,-0.225,1.24
"141",0.84,1958,2,14,2,45,1.08714285714286,0.303024437172664,-0.247142857142857,1.21785714285714
"142",2.7,1958,2,15,2,46,1.23833333333333,0.739362337874108,1.46166666666667,2.92666666666667
"143",1.76,1958,2,24,2,55,1.34142857142857,0.345032779671177,0.418571428571429,1.88357142857143
"144",0.8,1958,9,12,2,255,0.985,0.261629509039022,-0.185,1.28
"145",0.78,1958,10,31,2,304,1.3425,0.977149644922122,-0.5625,0.9025
"146",0.91,1958,11,9,2,313,1.08833333333333,0.225248011459961,-0.178333333333333,1.28666666666667
"147",0.86,1958,11,12,2,316,1.095,0.272658865879797,-0.235,1.23
"148",1.03,1958,11,18,2,322,1.08375,0.369050422416388,-0.05375,1.41125
"149",1.73,1958,11,19,2,323,1.7,1.13663245305302,0.03,1.495
"150",0.99,1958,12,26,2,360,1.15666666666667,0.272396769437525,-0.166666666666667,1.29833333333333
"151",1.81,1959,1,8,2,8,1.28,0.585889636934011,0.53,1.995
"152",1.24,1959,1,9,2,9,1.26363636363636,0.367376448000487,-0.0236363636363637,1.44136363636364
"153",3,1959,1,11,2,11,1.44833333333333,1.00559269421902,1.55166666666667,3.01666666666667
