,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
48,-1.823891204,-1.590049823,-1.374130824,-0.83260454,-1.09594939,-0.14926701,0.630028663,0.263988866
49,-1.162309703,-0.765214209,-0.481273378,-0.495054229,-1.023579971,-0.250214937,-0.230669637,-0.816487302
50,0.34535179,0.918918817,1.000021196,1.868238037,1.121813015,1.690670588,1.623298977,0.305726236
51,-0.372846201,-1.26004066,-1.05093928,0.692313095,1.210473386,0.112302498,1.472370839,1.492632698
52,1.621796289,1.688690473,0.953501201,-0.485372213,0.523433838,-0.968785161,-1.106664709,1.127430709
53,-1.275146763,-0.513493258,-0.039333426,2.252878156,1.286602255,2.235689941,0.327152603,-0.594757524
54,-0.061286105,0.148929991,-0.08299035,-0.398959836,-0.644135219,-0.312999248,-0.154256366,-1.88872224
55,0.25286731,-0.638815975,-0.704898564,-0.594022142,0.283005132,-0.272914645,-0.566494557,1.255185971
56,1.008831225,1.474762277,-0.843061914,-0.460098768,-0.851317421,-0.408057022,-0.44428027,1.468611939
57,0.180264495,0.003941314,1.722482604,0.863486324,1.576167373,0.027529003,-0.446630545,-0.59805398
58,-0.195136793,-0.530268302,0.440229756,-0.808008404,-0.760675208,-0.658872113,-0.527009942,0.958731447
59,-1.409427487,-1.369962083,0.094301969,-0.821837448,-1.088138187,-0.616496961,-0.688238789,0.494090873
60,1.158854104,1.341403708,0.889693487,-0.713024706,-0.957210546,-0.591300924,-0.707040987,-0.411771963
61,-1.872571514,-1.304058139,-0.57158305,1.31656948,1.34625268,1.615642819,0.718165621,0.995455616
62,0.231533782,-0.640754326,0.512947309,0.027193077,1.208706718,0.045089877,0.868583205,0.791609866
63,0.71910814,0.882014451,2.214538045,2.785723457,1.368409665,2.84375872,3.432262903,-0.471382209
64,1.232489187,1.089418039,-1.004079352,-0.13002132,0.803550413,-0.596645538,-0.173058564,-0.767836733
65,1.007110779,1.230530014,0.414605476,0.00972481,1.038069155,-0.161059513,0.205805726,0.250859783
66,-0.662065802,0.718417601,1.345043878,1.768924792,0.906566008,1.927157453,1.100790351,-0.017386322
67,0.987153607,0.670346489,-0.883575979,0.003902055,-0.373071839,-0.325215508,-0.419837413,-1.398534419
68,0.251146865,0.322218597,-1.134624673,-0.725761984,-1.086123916,-0.621841574,-0.736184394,0.5968121
69,0.393255693,-0.3465126,-1.103113734,-0.798546427,-1.090440211,-0.723770995,-0.87344044,-0.261681881
70,-1.814076355,-1.555656137,-0.971875865,-0.588563309,-0.778515897,-0.601608394,-0.200321751,-1.847207962
71,-1.40805113,-1.495954917,-0.334039044,-0.73667965,-0.9010987,-0.568395436,-0.388813786,0.851220112
72,0.585231286,1.026102287,0.320253828,-0.395081465,-0.467403846,-0.359522731,-0.456574165,0.174363257
73,-0.641784055,-0.758362291,-0.042073311,-0.176952461,-0.045963325,-0.292459195,-0.151602711,-0.020303868
74,1.597581163,-0.354643,1.233593292,-0.146230066,-0.37507089,-0.455010548,-0.60409293,-0.257927311
75,-0.594495431,-1.040586121,-0.877617744,-0.823658875,-0.92724025,-0.547389458,-0.652769156,1.119402258
76,-0.093609352,-0.426780929,-0.586638535,-0.566358818,-0.701435892,-0.455010548,-0.669656826,1.392140787
77,-0.06996504,1.143801015,0.040879403,0.838422693,0.299599618,-0.150337794,-0.458064254,0.453579325
78,-0.723294709,-0.936808748,-0.896099436,-0.823658875,-0.955580068,-0.523406472,2.406382608,-0.449867051
79,-0.723294709,-1.040586121,-0.896099436,-0.748389008,-0.984834074,-0.108589633,0.065950215,-0.99773057
80,-0.111031476,0.168040597,-0.735781497,-0.701537355,-0.772742532,-0.555383787,-0.789360605,1.720790714
81,0.290921825,0.90840356,-0.623172114,1.46899985,-0.002996504,0.28890616,-0.022461705,0.024016143
82,0.024612208,-0.806454244,1.106370478,0.440567678,1.203731235,-0.297344618,0.300390811,-1.022958884
83,-0.336896876,0.545182756,-0.146086558,-0.18616918,1.004438321,-0.333319098,-0.602602842,1.1303118
84,-0.723294709,-0.31541009,-0.335201553,-0.650845404,-1.023229956,-0.50297652,-0.727770279,-1.512524543
85,3.402015488,2.06007928,-0.354972666,3.24782652,1.737616841,3.641638834,2.897615129,1.147698881
86,-0.322585845,1.947442864,2.622728893,-0.468815213,1.740359404,-0.338204521,-0.456574165,0.546310425
87,-0.540362401,-0.304019891,1.75752779,0.363761691,1.709277023,-0.021096145,-0.426772394,-0.84022407
88,-0.677250523,-1.040586121,-0.721168066,0.12335895,-0.397011395,1.512926726,0.361484441,-1.388428513
89,-0.342496845,-0.774814801,-0.866442767,-0.79524066,-1.04151371,-0.50342065,-0.013521174,-1.218648779
90,-0.888834296,-0.474348596,-0.663257826,-0.7110362,-0.718155241,-0.927432736,0.108433868,-1.00071618
91,-0.947392597,-0.809964955,-0.617756565,-0.531599609,-0.606552969,-0.37976728,-0.326287367,-0.951673029
