,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
232,7706.5,7493.5,7787.5,8001.5,7855.5,7823.5,7690,7084
233,7733.5,7476.5,7708.5,7843,7790.5,7942,7723,7075
234,7754.5,7543,7663,7940.5,7710.5,8025.5,7892.5,6993
235,7647,7474,7644,7901,7635,7995,7935,7005
236,7585,7382.5,7611.5,7809.5,7573,7795.5,7730,6976
237,7569.5,7370.5,7549.5,7867,7675,7829,7689.5,6836.5
238,7559.5,7412.5,7714,7708,7589,7758.5,7621,6762
239,7476,7341,7548.5,7793,7536,7699,7507.5,6710
240,7526.5,7366,7474,7727.5,7562.5,7680,7473,6663.5
241,7398,7363.5,7489,7679.5,7495.5,7606.5,7482,6616.5
242,7326.5,7220,7334,7642.5,7428,7566.5,7341.5,6659.5
243,7348.5,7283,7405.5,7659.5,7501.5,7518,7388,6634
244,7257,7160.5,7295.5,7610,7427.5,7510,7412.5,6519
245,7330.5,7062.5,7386,7532,7429.5,7504.5,7384.5,6434.5
246,7193.5,7023,7202,7594.5,7436.5,7441.5,7327.5,6447
247,7157.5,7021.5,7258.5,7541.5,7319,7349,7338,6399
248,7089,7016,7196,7461,7294.5,7389,7175,6246
249,6951,6922,7074.5,7272,7222.5,7267,7103.5,6231
250,6959.5,6795,6973,7312,7150.5,7257.5,7182,6252
251,6844,6783,6948.5,7270.5,7032.5,7427,7406,6274
252,6828,6701.5,7007,7253,7090,7285,7064.5,6214
253,6749,6593.5,6946,7173.5,7035.5,7127,7012,6138
254,6616,6548.5,6723.5,7068,6871,7150.5,7017.5,6015
255,6635.5,6498.5,6759.5,7002,6831,7057,6945.5,6033
256,6537.5,6541.5,6677.5,6987,6830,7063,6898.5,5884.5
257,6512.5,6381,6657.5,7027,6824,7050.5,7013.5,5711.5
258,6468.5,6379,6585,6945.5,6816,7021,6847.5,5659
259,6440,6403,6557,6891,6790.5,6978,6882,5612
260,6405.5,6381.5,6540.5,6774.5,6612,6989.5,6878,5603
261,6308.5,6284,6456,6872.5,6678,6756,6681,5520.5
262,6258,6216.5,6444.5,6767,6636.5,6742.5,6596,5530.5
263,6290.5,6160.5,6397,6714.5,6642.5,6757.5,6667.5,5534.5
264,6238.5,6196.5,6278.5,6635,6578.5,6691,6597,5577.5
265,6181.5,6080.5,6256.5,6541.5,6486,6585.5,6519,5513.5
266,6136,6031,6242.5,6542.5,6370.5,6611.5,6513.5,5359.5
267,6029.5,5927,6168.5,6530.5,6365,6512,6426,5253
268,5938.5,5897,6160.5,6529,6325.5,6496.5,6434,5170
269,5879,5852,6144,6399,6349,6493,6427,5213
270,5818,5792,6035,6307.5,6270.5,6419.5,6314,5083.5
271,5846,5738,5921,6284.5,6219.5,6344,6201,4877.5
272,5712,5684.5,5983.5,6278.5,6201,6336.5,6271.5,4945.5
273,5681,5690,5877,6229.5,6198,6338.5,6262,4781.5
274,5688.5,5711,5835.5,6148.5,6082,6253.5,6151,4837.5
275,5574,5581,5877,6080,6082,6115.5,6028.5,4795
276,5584,5593,5767,6056,6034.5,6164,6027.5,4705.5
277,5454,5524.5,5766,6078.5,6066,6132.5,6077.5,4657.5
278,5437.5,5394.5,5706.5,6028.5,5964.5,6109.5,6037.5,4629.5
279,5327,5333.5,5569.5,5880,5876.5,6021.5,6004.5,4607
280,5326.5,5288,5511,5848.5,5892,6006.5,5952,4406
281,5269,5370.5,5487,5833,5734,5953.5,5914.5,4504
282,5247.5,5289.5,5485,5837.5,5761,5893,5786.5,4358.5
283,5238.5,5206.5,5325.5,5674,5681.5,5888,5824,4310.5
284,5158.5,5120,5291,5564,5604,5774.5,5716,4267
285,5038,5098,5300,5576,5562.5,5668.5,5618.5,4205
286,4997,5020.5,5218.5,5468,5461.5,5553.5,5558,4129
287,4973,4982.5,5204.5,5480,5424.5,5560,5574.5,4086
288,4869.5,4777.5,5036,5449.5,5384.5,5550,5463,4021
289,4766.5,4795,5094,5311.5,5257.5,5469.5,5415.5,3966.5
290,4745.5,4725.5,5034,5346,5327,5428,5405.5,3859
291,4611.5,4656,4973,5288.5,5254,5371,5312,3807
292,4618,4591,4913.5,5274.5,5171,5374,5343,3796
293,4547,4580,4890.5,5177,5211,5262,5233,3723.5
294,4578.5,4686.5,4765.5,5161,5140.5,5224.5,5281.5,3681.5
295,4538.5,4550,4726.5,5137.5,5132,5209.5,5176,3635.5
296,4343.5,4474.5,4666,5065,4992.5,5199.5,5153,3551.5
297,4372.5,4485.5,4629.5,4987.5,4957,5100,5011,3587.5
298,4299,4386,4624.5,5004,4980,5088,5058.5,3655.5
299,4270,4334.5,4618,4920.5,4976.5,5032.5,4987,3348
300,4227,4238,4597,4881.5,4918,4919.5,4864.5,3428.5
301,4268.5,4187.5,4417,4747,4779.5,4934.5,4823.5,3315.5
302,4204,4177.5,4456,4728.5,4723.5,4823.5,4759.5,3494.5
303,4192,4187.5,4383,4680.5,4685,4794.5,4768,3422
304,4104.5,4129.5,4337,4660,4671.5,4786.5,4762,3368.5
305,4010,4013.5,4328,4719.5,4651.5,4807,4838,3248.5
306,3909,4019.5,4311.5,4591,4586,4680.5,4668.5,3138.5
307,3889.5,3948,4189.5,4500.5,4507.5,4632.5,4613.5,3126.5
308,3809.5,3827,4124,4558,4522,4724,4741,3004.5
309,3758.5,3818,4093.5,4447,4456,4638.5,4544.5,3021.5
310,3721.5,3763,4182,4429.5,4477.5,4545,4527.5,2945
311,3658.5,3752.5,3966.5,4336.5,4355.5,4470,4477,2825
312,3629.5,3717.5,4043.5,4379,4420.5,4500,4479.5,2771.5
313,3670.5,3618.5,3964.5,4274,4272.5,4379,4379,2787.5
314,3647,3656.5,3987.5,4392,4429,4477,4448,2777.5
315,3437,3572,3868,4226.5,4302,4402.5,4364.5,2700.5
316,3371,3440.5,3835,4194,4237.5,4384,4345.5,2656
317,3430.5,3535,3793.5,4141.5,4119,4319.5,4295,2632.5
318,3407.5,3536.5,3721.5,4105.5,4154.5,4295.5,4301.5,2734
319,3440,3490.5,3779.5,4123.5,4127,4227.5,4214,2693.5
320,3358,3452.5,3739.5,4081.5,4080.5,4177.5,4211.5,2604.5
321,3361,3393.5,3767.5,4099,4123.5,4197.5,4154.5,2524
322,3273,3411,3673,4037.5,4120,4175.5,4155.5,2471.5
323,3382.5,3410,3730,3935.5,3932,4065.5,4101.5,2472
324,3280,3369.5,3576,3944.5,3923,4015,4037,2484
325,3323.5,3325,3590,3950,3975,4078,4036,2430.5
326,3259,3406,3599.5,3906,4013.5,4033.5,4042.5,2475.5
327,3199,3294,3580.5,3849,3942,4013,4032,2307.5
328,3129.5,3249,3545.5,3898.5,3978.5,4092,4100,2410
329,3076.5,3210,3491.5,3843,3927.5,4024.5,4052.5,2358
330,3108,3144.5,3442,3792.5,3815,3930,3991.5,2280
331,3080,3173,3471,3752,3783.5,3851.5,3837.5,2302.5
332,3053,3141.5,3418.5,3777.5,3850,3917.5,3914.5,2259
333,2961.5,3121,3371,3684,3728.5,3859,3847,2263
334,2970,3131.5,3315.5,3637.5,3690.5,3798,3814,2189
335,2998.5,3049.5,3345,3672,3722.5,3823.5,3829.5,2188.5
336,2928,3068.5,3382,3651,3758.5,3790,3834.5,2139.5
337,2960.5,3060.5,3272,3658.5,3761.5,3832,3856,2149.5
338,2895,2979,3262,3633.5,3690,3781.5,3767.5,2092.5
339,2817,2999,3218.5,3587.5,3676.5,3773.5,3769,2092
340,2889.5,2976,3282,3538,3609,3684,3736,2201
341,2938.5,2944,3212.5,3557.5,3617,3737.5,3735.5,2130
342,2861.5,2987,3267,3639.5,3706.5,3766.5,3789.5,2090.5
343,2798,2936,3265.5,3561.5,3648,3691.5,3680,2064.5
344,2774.5,2941.5,3264.5,3561.5,3542.5,3668,3631,2030.5
345,2805.5,2931.5,3217.5,3555,3625.5,3674,3658,1996.5
346,2717,2826.5,3172.5,3504,3484.5,3603.5,3610,2022
347,2771,2844,3152,3447.5,3530,3601.5,3610.5,2022.5
348,2720,2875.5,3122.5,3477,3522,3616.5,3649.5,2025.5
349,2768.5,2841.5,3143,3435.5,3511.5,3619,3643,2057
350,2801.5,2902.5,3182.5,3511.5,3537,3677,3657.5,1944.5
351,2767,2960.5,3151,3508,3600,3642,3689.5,1938.5
352,2784,2804.5,3125,3559,3649,3713,3663,1944
353,2712.5,2764.5,3137.5,3508,3540,3625.5,3645,1874
354,2814,2877,3160,3500.5,3608,3624.5,3608.5,1999
355,2813,2976,3115.5,3467.5,3560,3592,3605,1998
356,2757,2833.5,3139.5,3483,3531,3598.5,3575,1998
357,2824,2876,3132,3464,3527,3622,3596,2032.5
358,2824.5,2850,3166.5,3519.5,3603,3680,3703,1993.5
359,2790.5,2873,3211,3558,3625.5,3618,3608.5,1987
360,2774,2875,3193,3504,3561.5,3645,3614.5,1900
361,2781,2922,3236.5,3500.5,3580,3621.5,3654,1989
362,2796.5,2871.5,3169,3518,3609.5,3634.5,3651,1962
363,2884.5,2968,3236.5,3523,3532,3690.5,3661.5,2069.5
364,2910,2925,3268,3505.5,3525.5,3648,3682.5,2091.5
