,Site9
878,3781.5
879,8475.0
880,7940.5
881,7435.0
882,8494.0
883,6013.0
884,5424.5
885,7627.0
886,6654.0
887,7108.0
888,5596.0
889,7266.0
890,8349.0
891,8531.5
892,8722.0
893,8118.5
894,8423.5
895,4466.0
896,4018.5
897,2317.0
898,3003.5
899,8489.0
900,8485.5
901,8371.5
902,4107.5
903,7121.5
904,8073.5
905,8381.0
906,8019.5
907,4133.0
908,1938.5
909,4642.5
910,4618.0
911,8636.5
912,8571.5
913,6939.5
914,6028.0
915,8060.0
916,7974.0
917,4552.0
918,7148.0
919,8525.0
920,8304.5
921,8164.0
922,7837.5
923,6530.0
924,8213.5
925,8410.0
926,8154.0
927,7205.0
928,6580.5
929,4223.0
930,8250.5
931,8180.5
932,7505.0
933,6814.0
934,7646.5
935,6066.5
936,6454.5
937,7819.5
938,7729.5
939,7823.5
940,7596.0
941,7679.5
942,7826.5
943,8053.0
944,7507.0
945,4619.0
946,6200.0
947,6713.5
948,7698.0
949,7506.0
950,7444.5
951,7455.0
952,7537.0
953,7472.5
954,7549.0
955,7399.0
956,7448.5
957,7143.0
958,7319.0
959,6552.0
960,6467.0
961,3405.0
962,4570.5
963,6698.5
964,6690.5
965,6568.5
966,2789.5
967,5876.5
968,6576.0
969,6522.0
970,5773.5
971,6113.0
972,6054.5
973,6105.5
974,6329.5
975,6434.5
976,6364.5
977,6160.0
978,5144.0
979,4465.5
980,4378.0
981,5954.5
982,5792.0
983,5876.0
984,5811.0
985,5781.5
986,4448.0
987,3129.5
988,2407.5
989,1571.5
990,5110.0
991,5520.5
992,5530.5
993,5534.5
994,5344.0
995,5353.0
996,5181.0
997,5150.0
998,4136.5
999,4952.0
1000,4790.5
1001,3042.5
1002,3082.0
1003,3932.5
1004,4150.5
1005,1336.0
1006,1473.0
1007,1797.0
1008,3308.5
1009,4160.0
1010,3538.0
1011,3280.5
1012,2251.0
1013,4222.0
1014,4267.0
1015,4205.0
1016,4129.0
1017,4086.0
1018,4021.0
1019,3907.0
1020,2038.0
