,Site9
342,513.1768016813996
343,628.162706472192
344,571.1145995353902
345,688.8432937420043
346,783.1634296631378
347,976.2538218574911
348,1321.1046108264527
349,1199.1166604764103
350,1308.2311448651042
351,1843.7921464109415
352,1370.6729313451194
353,2151.568143489824
354,1190.6920243764043
355,816.850599562841
356,677.3987994436176
357,906.8475701197522
358,956.6118197111674
359,1193.7169247567101
360,990.9439542803071
361,977.5962319623136
362,723.0240676970136
363,723.3770196101062
364,520.4450018974147
